2026-05-15 16:14:16.150 -05:00 [WRN] Failed to determine the https port for redirect.
2026-05-15 16:14:17.370 -05:00 [INF] HTTP GET /api/locations/states responded 200 in 1229.4591 ms
2026-05-15 16:14:25.044 -05:00 [INF] HTTP GET /api/locations/states responded 200 in 487.2077 ms
2026-05-15 16:15:34.407 -05:00 [INF] HTTP GET / responded 404 in 7.4265 ms
2026-05-15 16:17:45.378 -05:00 [INF] HTTP GET /api/rooms/featured responded 200 in 814.6311 ms
2026-05-15 16:17:59.984 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.9243 ms
2026-05-15 16:18:24.106 -05:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.3387 ms
2026-05-15 16:19:16.703 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1763 ms
2026-05-15 16:22:20.383 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.4225 ms
2026-05-15 16:22:21.059 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1637 ms
2026-05-15 16:22:26.769 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.1769 ms
2026-05-15 16:22:47.246 -05:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.1592 ms
2026-05-15 16:26:28.897 -05:00 [WRN] Failed to determine the https port for redirect.
2026-05-15 16:26:29.100 -05:00 [INF] HTTP GET /health responded 404 in 210.3238 ms
2026-05-15 16:26:30.389 -05:00 [INF] HTTP GET /api/locations/states responded 200 in 1018.5216 ms
2026-05-15 16:27:07.303 -05:00 [INF] HTTP GET /api/rooms/featured responded 200 in 1128.8763 ms
2026-05-15 16:27:11.338 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 2.7762 ms
2026-05-15 16:27:11.554 -05:00 [INF] HTTP POST /api/auth/login responded 401 in 194.8301 ms
2026-05-15 16:27:15.757 -05:00 [INF] HTTP POST /api/auth/login responded 401 in 22.7632 ms
2026-05-15 16:27:16.313 -05:00 [INF] HTTP POST /api/auth/login responded 401 in 24.2734 ms
2026-05-15 16:27:16.898 -05:00 [INF] HTTP OPTIONS /api/auth/login responded 204 in 0.4152 ms
2026-05-15 16:27:16.920 -05:00 [INF] HTTP POST /api/auth/login responded 401 in 9.5113 ms
2026-05-15 16:27:38.961 -05:00 [INF] HTTP OPTIONS /api/auth/register responded 204 in 0.1698 ms
2026-05-15 16:27:41.608 -05:00 [INF] HTTP POST /api/auth/register responded 200 in 2637.8096 ms
2026-05-15 16:27:41.744 -05:00 [INF] HTTP OPTIONS /api/users/me responded 204 in 0.2359 ms
2026-05-15 16:27:41.824 -05:00 [INF] HTTP OPTIONS /api/bookings/my responded 204 in 0.2357 ms
2026-05-15 16:27:42.260 -05:00 [INF] HTTP GET /api/users/me responded 200 in 414.2913 ms
2026-05-15 16:27:42.314 -05:00 [INF] HTTP GET /api/bookings/my responded 200 in 461.0068 ms
2026-05-15 16:27:47.910 -05:00 [INF] HTTP OPTIONS /api/rooms responded 204 in 0.3560 ms
